"time" "S" "E" "I" "R"
"872062" 873 125 0 0 1176
"873062" 874 125 0 0 1176
"874062" 875 125 0 0 1176
"875062" 876 125 0 0 1176
"876062" 877 125 0 0 1176
"877062" 878 125 0 0 1176
"878062" 879 125 0 0 1176
"879062" 880 125 0 0 1176
"880062" 881 125 0 0 1176
"881062" 882 125 0 0 1176
"882062" 883 125 0 0 1176
"883062" 884 125 0 0 1176
"884062" 885 125 0 0 1176
"885062" 886 125 0 0 1176
"886062" 887 125 0 0 1176
"887062" 888 125 0 0 1176
"888062" 889 125 0 0 1176
"889062" 890 125 0 0 1176
"890062" 891 125 0 0 1176
"891062" 892 125 0 0 1176
"892062" 893 125 0 0 1176
"893062" 894 125 0 0 1176
"894062" 895 125 0 0 1176
"895062" 896 125 0 0 1176
"896062" 897 125 0 0 1176
"897062" 898 125 0 0 1176
"898062" 899 125 0 0 1176
"899062" 900 125 0 0 1176
"900062" 901 125 0 0 1176
"901062" 902 125 0 0 1176
"902062" 903 125 0 0 1176
"903062" 904 125 0 0 1176
"904062" 905 125 0 0 1176
"905062" 906 125 0 0 1176
"906062" 907 125 0 0 1176
"907062" 908 125 0 0 1176
"908062" 909 125 0 0 1176
"909062" 910 125 0 0 1176
"910062" 911 125 0 0 1176
"911062" 912 125 0 0 1176
"912062" 913 125 0 0 1176
"913062" 914 125 0 0 1176
"914062" 915 125 0 0 1176
"915062" 916 125 0 0 1176
"916062" 917 125 0 0 1176
"917062" 918 125 0 0 1176
"918062" 919 125 0 0 1176
"919062" 920 125 0 0 1176
"920062" 921 125 0 0 1176
"921062" 922 125 0 0 1176
"922062" 923 125 0 0 1176
"923062" 924 125 0 0 1176
"924062" 925 125 0 0 1176
"925062" 926 125 0 0 1176
"926062" 927 125 0 0 1176
"927062" 928 125 0 0 1176
"928062" 929 125 0 0 1176
"929062" 930 125 0 0 1176
"930062" 931 125 0 0 1176
"931062" 932 125 0 0 1176
"932062" 933 125 0 0 1176
"933062" 934 125 0 0 1176
"934062" 935 125 0 0 1176
"935062" 936 125 0 0 1176
"936062" 937 125 0 0 1176
"937062" 938 125 0 0 1176
"938062" 939 125 0 0 1176
"939062" 940 125 0 0 1176
"940062" 941 125 0 0 1176
"941062" 942 125 0 0 1176
"942062" 943 125 0 0 1176
"943062" 944 125 0 0 1176
"944062" 945 125 0 0 1176
"945062" 946 125 0 0 1176
"946062" 947 125 0 0 1176
"947062" 948 125 0 0 1176
"948062" 949 125 0 0 1176
"949062" 950 125 0 0 1176
"950062" 951 125 0 0 1176
"951062" 952 125 0 0 1176
"952062" 953 125 0 0 1176
"953062" 954 125 0 0 1176
"954062" 955 125 0 0 1176
"955062" 956 125 0 0 1176
"956062" 957 125 0 0 1176
"957062" 958 125 0 0 1176
"958062" 959 125 0 0 1176
"959062" 960 125 0 0 1176
"960062" 961 125 0 0 1176
"961062" 962 125 0 0 1176
"962062" 963 125 0 0 1176
"963062" 964 125 0 0 1176
"964062" 965 125 0 0 1176
"965062" 966 125 0 0 1176
"966062" 967 125 0 0 1176
"967062" 968 125 0 0 1176
"968062" 969 125 0 0 1176
"969062" 970 125 0 0 1176
"970062" 971 125 0 0 1176
"971062" 972 125 0 0 1176
"972062" 973 125 0 0 1176
"973062" 974 125 0 0 1176
"974062" 975 125 0 0 1176
"975062" 976 125 0 0 1176
"976062" 977 125 0 0 1176
"977062" 978 125 0 0 1176
"978062" 979 125 0 0 1176
"979062" 980 125 0 0 1176
"980062" 981 125 0 0 1176
"981062" 982 125 0 0 1176
"982062" 983 125 0 0 1176
"983062" 984 125 0 0 1176
"984062" 985 125 0 0 1176
"985062" 986 125 0 0 1176
"986062" 987 125 0 0 1176
"987062" 988 125 0 0 1176
"988062" 989 125 0 0 1176
"989062" 990 125 0 0 1176
"990062" 991 125 0 0 1176
"991062" 992 125 0 0 1176
"992062" 993 125 0 0 1176
"993062" 994 125 0 0 1176
"994062" 995 125 0 0 1176
"995062" 996 125 0 0 1176
"996062" 997 125 0 0 1176
"997062" 998 125 0 0 1176
"998062" 999 125 0 0 1176
"999062" 1000 125 0 0 1176
"1000062" 1001 125 0 0 1176
"1001062" 1002 125 0 0 1176
"1002062" 1003 125 0 0 1176
"1003062" 1004 125 0 0 1176
"1004062" 1005 125 0 0 1176
"1005062" 1006 125 0 0 1176
"1006062" 1007 125 0 0 1176
"1007062" 1008 125 0 0 1176
"1008062" 1009 125 0 0 1176
"1009062" 1010 125 0 0 1176
"1010062" 1011 125 0 0 1176
"1011062" 1012 125 0 0 1176
"1012062" 1013 125 0 0 1176
"1013062" 1014 125 0 0 1176
"1014062" 1015 125 0 0 1176
"1015062" 1016 125 0 0 1176
"1016062" 1017 125 0 0 1176
"1017062" 1018 125 0 0 1176
"1018062" 1019 125 0 0 1176
"1019062" 1020 125 0 0 1176
"1020062" 1021 125 0 0 1176
"1021062" 1022 125 0 0 1176
"1022062" 1023 125 0 0 1176
"1023062" 1024 125 0 0 1176
"1024062" 1025 125 0 0 1176
"1025062" 1026 125 0 0 1176
"1026062" 1027 125 0 0 1176
"1027062" 1028 125 0 0 1176
"1028062" 1029 125 0 0 1176
"1029062" 1030 125 0 0 1176
"1030062" 1031 125 0 0 1176
"1031062" 1032 125 0 0 1176
"1032062" 1033 125 0 0 1176
"1033062" 1034 125 0 0 1176
"1034062" 1035 125 0 0 1176
"1035062" 1036 125 0 0 1176
"1036062" 1037 125 0 0 1176
"1037062" 1038 125 0 0 1176
"1038062" 1039 125 0 0 1176
"1039062" 1040 125 0 0 1176
"1040062" 1041 125 0 0 1176
"1041062" 1042 125 0 0 1176
"1042062" 1043 125 0 0 1176
"1043062" 1044 125 0 0 1176
"1044062" 1045 125 0 0 1176
"1045062" 1046 125 0 0 1176
"1046062" 1047 125 0 0 1176
"1047062" 1048 125 0 0 1176
"1048062" 1049 125 0 0 1176
"1049062" 1050 125 0 0 1176
"1050062" 1051 125 0 0 1176
"1051062" 1052 125 0 0 1176
"1052062" 1053 125 0 0 1176
"1053062" 1054 125 0 0 1176
"1054062" 1055 125 0 0 1176
"1055062" 1056 125 0 0 1176
"1056062" 1057 125 0 0 1176
"1057062" 1058 125 0 0 1176
"1058062" 1059 125 0 0 1176
"1059062" 1060 125 0 0 1176
"1060062" 1061 125 0 0 1176
"1061062" 1062 125 0 0 1176
"1062062" 1063 125 0 0 1176
"1063062" 1064 125 0 0 1176
"1064062" 1065 125 0 0 1176
"1065062" 1066 125 0 0 1176
"1066062" 1067 125 0 0 1176
"1067062" 1068 125 0 0 1176
"1068062" 1069 125 0 0 1176
"1069062" 1070 125 0 0 1176
"1070062" 1071 125 0 0 1176
"1071062" 1072 125 0 0 1176
"1072062" 1073 125 0 0 1176
"1073062" 1074 125 0 0 1176
"1074062" 1075 125 0 0 1176
"1075062" 1076 125 0 0 1176
"1076062" 1077 125 0 0 1176
"1077062" 1078 125 0 0 1176
"1078062" 1079 125 0 0 1176
"1079062" 1080 125 0 0 1176
"1080062" 1081 125 0 0 1176
"1081062" 1082 125 0 0 1176
"1082062" 1083 125 0 0 1176
"1083062" 1084 125 0 0 1176
"1084062" 1085 125 0 0 1176
"1085062" 1086 125 0 0 1176
"1086062" 1087 125 0 0 1176
"1087062" 1088 125 0 0 1176
"1088062" 1089 125 0 0 1176
"1089062" 1090 125 0 0 1176
"1090062" 1091 125 0 0 1176
"1091062" 1092 125 0 0 1176
"1092062" 1093 125 0 0 1176
"1093062" 1094 125 0 0 1176
"1094062" 1095 125 0 0 1176
"1095062" 1096 125 0 0 1176
"1096062" 1097 125 0 0 1176
"1097062" 1098 125 0 0 1176
"1098062" 1099 125 0 0 1176
"1099062" 1100 125 0 0 1176
"1100062" 1101 125 0 0 1176
"1101062" 1102 125 0 0 1176
"1102062" 1103 125 0 0 1176
"1103062" 1104 125 0 0 1176
"1104062" 1105 125 0 0 1176
"1105062" 1106 125 0 0 1176
"1106062" 1107 125 0 0 1176
"1107062" 1108 125 0 0 1176
"1108062" 1109 125 0 0 1176
"1109062" 1110 125 0 0 1176
"1110062" 1111 125 0 0 1176
"1111062" 1112 125 0 0 1176
"1112062" 1113 125 0 0 1176
"1113062" 1114 125 0 0 1176
"1114062" 1115 125 0 0 1176
"1115062" 1116 125 0 0 1176
"1116062" 1117 125 0 0 1176
"1117062" 1118 125 0 0 1176
"1118062" 1119 125 0 0 1176
"1119062" 1120 125 0 0 1176
"1120062" 1121 125 0 0 1176
"1121062" 1122 125 0 0 1176
"1122062" 1123 125 0 0 1176
"1123062" 1124 125 0 0 1176
"1124062" 1125 125 0 0 1176
"1125062" 1126 125 0 0 1176
"1126062" 1127 125 0 0 1176
"1127062" 1128 125 0 0 1176
"1128062" 1129 125 0 0 1176
"1129062" 1130 125 0 0 1176
"1130062" 1131 125 0 0 1176
"1131062" 1132 125 0 0 1176
"1132062" 1133 125 0 0 1176
"1133062" 1134 125 0 0 1176
"1134062" 1135 125 0 0 1176
"1135062" 1136 125 0 0 1176
"1136062" 1137 125 0 0 1176
"1137062" 1138 125 0 0 1176
"1138062" 1139 125 0 0 1176
"1139062" 1140 125 0 0 1176
"1140062" 1141 125 0 0 1176
"1141062" 1142 125 0 0 1176
"1142062" 1143 125 0 0 1176
"1143062" 1144 125 0 0 1176
"1144062" 1145 125 0 0 1176
"1145062" 1146 125 0 0 1176
"1146062" 1147 125 0 0 1176
"1147062" 1148 125 0 0 1176
"1148062" 1149 125 0 0 1176
"1149062" 1150 125 0 0 1176
"1150062" 1151 125 0 0 1176
"1151062" 1152 125 0 0 1176
"1152062" 1153 125 0 0 1176
"1153062" 1154 125 0 0 1176
"1154062" 1155 125 0 0 1176
"1155062" 1156 125 0 0 1176
"1156062" 1157 125 0 0 1176
"1157062" 1158 125 0 0 1176
"1158062" 1159 125 0 0 1176
"1159062" 1160 125 0 0 1176
"1160062" 1161 125 0 0 1176
"1161062" 1162 125 0 0 1176
"1162062" 1163 125 0 0 1176
"1163062" 1164 125 0 0 1176
"1164062" 1165 125 0 0 1176
"1165062" 1166 125 0 0 1176
"1166062" 1167 125 0 0 1176
"1167062" 1168 125 0 0 1176
"1168062" 1169 125 0 0 1176
"1169062" 1170 125 0 0 1176
"1170062" 1171 125 0 0 1176
"1171062" 1172 125 0 0 1176
"1172062" 1173 125 0 0 1176
"1173062" 1174 125 0 0 1176
"1174062" 1175 125 0 0 1176
"1175062" 1176 125 0 0 1176
"1176062" 1177 125 0 0 1176
"1177062" 1178 125 0 0 1176
"1178062" 1179 125 0 0 1176
"1179062" 1180 125 0 0 1176
"1180062" 1181 125 0 0 1176
"1181062" 1182 125 0 0 1176
"1182062" 1183 125 0 0 1176
"1183062" 1184 125 0 0 1176
"1184062" 1185 125 0 0 1176
"1185062" 1186 125 0 0 1176
"1186062" 1187 125 0 0 1176
"1187062" 1188 125 0 0 1176
"1188062" 1189 125 0 0 1176
"1189062" 1190 125 0 0 1176
"1190062" 1191 125 0 0 1176
"1191062" 1192 125 0 0 1176
"1192062" 1193 125 0 0 1176
"1193062" 1194 125 0 0 1176
"1194062" 1195 125 0 0 1176
"1195062" 1196 125 0 0 1176
"1196062" 1197 125 0 0 1176
"1197062" 1198 125 0 0 1176
"1198062" 1199 125 0 0 1176
"1199062" 1200 125 0 0 1176
