"time" "S" "E" "I" "R"
"201062" 202 125 0 0 1176
"202062" 203 125 0 0 1176
"203062" 204 125 0 0 1176
"204062" 205 125 0 0 1176
"205062" 206 125 0 0 1176
"206062" 207 125 0 0 1176
"207062" 208 125 0 0 1176
"208062" 209 125 0 0 1176
"209062" 210 125 0 0 1176
"210062" 211 125 0 0 1176
"211062" 212 125 0 0 1176
"212062" 213 125 0 0 1176
"213062" 214 125 0 0 1176
"214062" 215 125 0 0 1176
"215062" 216 125 0 0 1176
"216062" 217 125 0 0 1176
"217062" 218 125 0 0 1176
"218062" 219 125 0 0 1176
"219062" 220 125 0 0 1176
"220062" 221 125 0 0 1176
"221062" 222 125 0 0 1176
"222062" 223 125 0 0 1176
"223062" 224 125 0 0 1176
"224062" 225 125 0 0 1176
"225062" 226 125 0 0 1176
"226062" 227 125 0 0 1176
"227062" 228 125 0 0 1176
"228062" 229 125 0 0 1176
"229062" 230 125 0 0 1176
"230062" 231 125 0 0 1176
"231062" 232 125 0 0 1176
"232062" 233 125 0 0 1176
"233062" 234 125 0 0 1176
"234062" 235 125 0 0 1176
"235062" 236 125 0 0 1176
"236062" 237 125 0 0 1176
"237062" 238 125 0 0 1176
"238062" 239 125 0 0 1176
"239062" 240 125 0 0 1176
"240062" 241 125 0 0 1176
"241062" 242 125 0 0 1176
"242062" 243 125 0 0 1176
"243062" 244 125 0 0 1176
"244062" 245 125 0 0 1176
"245062" 246 125 0 0 1176
"246062" 247 125 0 0 1176
"247062" 248 125 0 0 1176
"248062" 249 125 0 0 1176
"249062" 250 125 0 0 1176
"250062" 251 125 0 0 1176
"251062" 252 125 0 0 1176
"252062" 253 125 0 0 1176
"253062" 254 125 0 0 1176
"254062" 255 125 0 0 1176
"255062" 256 125 0 0 1176
"256062" 257 125 0 0 1176
"257062" 258 125 0 0 1176
"258062" 259 125 0 0 1176
"259062" 260 125 0 0 1176
"260062" 261 125 0 0 1176
"261062" 262 125 0 0 1176
"262062" 263 125 0 0 1176
"263062" 264 125 0 0 1176
"264062" 265 125 0 0 1176
"265062" 266 125 0 0 1176
"266062" 267 125 0 0 1176
"267062" 268 125 0 0 1176
"268062" 269 125 0 0 1176
"269062" 270 125 0 0 1176
"270062" 271 125 0 0 1176
"271062" 272 125 0 0 1176
"272062" 273 125 0 0 1176
"273062" 274 125 0 0 1176
"274062" 275 125 0 0 1176
"275062" 276 125 0 0 1176
"276062" 277 125 0 0 1176
"277062" 278 125 0 0 1176
"278062" 279 125 0 0 1176
"279062" 280 125 0 0 1176
"280062" 281 125 0 0 1176
"281062" 282 125 0 0 1176
"282062" 283 125 0 0 1176
"283062" 284 125 0 0 1176
"284062" 285 125 0 0 1176
"285062" 286 125 0 0 1176
"286062" 287 125 0 0 1176
"287062" 288 125 0 0 1176
"288062" 289 125 0 0 1176
"289062" 290 125 0 0 1176
"290062" 291 125 0 0 1176
"291062" 292 125 0 0 1176
"292062" 293 125 0 0 1176
"293062" 294 125 0 0 1176
"294062" 295 125 0 0 1176
"295062" 296 125 0 0 1176
"296062" 297 125 0 0 1176
"297062" 298 125 0 0 1176
"298062" 299 125 0 0 1176
"299062" 300 125 0 0 1176
"300062" 301 125 0 0 1176
"301062" 302 125 0 0 1176
"302062" 303 125 0 0 1176
"303062" 304 125 0 0 1176
"304062" 305 125 0 0 1176
"305062" 306 125 0 0 1176
"306062" 307 125 0 0 1176
"307062" 308 125 0 0 1176
"308062" 309 125 0 0 1176
"309062" 310 125 0 0 1176
"310062" 311 125 0 0 1176
"311062" 312 125 0 0 1176
"312062" 313 125 0 0 1176
"313062" 314 125 0 0 1176
"314062" 315 125 0 0 1176
"315062" 316 125 0 0 1176
"316062" 317 125 0 0 1176
"317062" 318 125 0 0 1176
"318062" 319 125 0 0 1176
"319062" 320 125 0 0 1176
"320062" 321 125 0 0 1176
"321062" 322 125 0 0 1176
"322062" 323 125 0 0 1176
"323062" 324 125 0 0 1176
"324062" 325 125 0 0 1176
"325062" 326 125 0 0 1176
"326062" 327 125 0 0 1176
"327062" 328 125 0 0 1176
"328062" 329 125 0 0 1176
"329062" 330 125 0 0 1176
"330062" 331 125 0 0 1176
"331062" 332 125 0 0 1176
"332062" 333 125 0 0 1176
"333062" 334 125 0 0 1176
"334062" 335 125 0 0 1176
"335062" 336 125 0 0 1176
"336062" 337 125 0 0 1176
"337062" 338 125 0 0 1176
"338062" 339 125 0 0 1176
"339062" 340 125 0 0 1176
"340062" 341 125 0 0 1176
"341062" 342 125 0 0 1176
"342062" 343 125 0 0 1176
"343062" 344 125 0 0 1176
"344062" 345 125 0 0 1176
"345062" 346 125 0 0 1176
"346062" 347 125 0 0 1176
"347062" 348 125 0 0 1176
"348062" 349 125 0 0 1176
"349062" 350 125 0 0 1176
"350062" 351 125 0 0 1176
"351062" 352 125 0 0 1176
"352062" 353 125 0 0 1176
"353062" 354 125 0 0 1176
"354062" 355 125 0 0 1176
"355062" 356 125 0 0 1176
"356062" 357 125 0 0 1176
"357062" 358 125 0 0 1176
"358062" 359 125 0 0 1176
"359062" 360 125 0 0 1176
"360062" 361 125 0 0 1176
"361062" 362 125 0 0 1176
"362062" 363 125 0 0 1176
"363062" 364 125 0 0 1176
"364062" 365 125 0 0 1176
"365062" 366 125 0 0 1176
"366062" 367 125 0 0 1176
"367062" 368 125 0 0 1176
"368062" 369 125 0 0 1176
"369062" 370 125 0 0 1176
"370062" 371 125 0 0 1176
"371062" 372 125 0 0 1176
"372062" 373 125 0 0 1176
"373062" 374 125 0 0 1176
"374062" 375 125 0 0 1176
"375062" 376 125 0 0 1176
"376062" 377 125 0 0 1176
"377062" 378 125 0 0 1176
"378062" 379 125 0 0 1176
"379062" 380 125 0 0 1176
"380062" 381 125 0 0 1176
"381062" 382 125 0 0 1176
"382062" 383 125 0 0 1176
"383062" 384 125 0 0 1176
"384062" 385 125 0 0 1176
"385062" 386 125 0 0 1176
"386062" 387 125 0 0 1176
"387062" 388 125 0 0 1176
"388062" 389 125 0 0 1176
"389062" 390 125 0 0 1176
"390062" 391 125 0 0 1176
"391062" 392 125 0 0 1176
"392062" 393 125 0 0 1176
"393062" 394 125 0 0 1176
"394062" 395 125 0 0 1176
"395062" 396 125 0 0 1176
"396062" 397 125 0 0 1176
"397062" 398 125 0 0 1176
"398062" 399 125 0 0 1176
"399062" 400 125 0 0 1176
"400062" 401 125 0 0 1176
"401062" 402 125 0 0 1176
"402062" 403 125 0 0 1176
"403062" 404 125 0 0 1176
"404062" 405 125 0 0 1176
"405062" 406 125 0 0 1176
"406062" 407 125 0 0 1176
"407062" 408 125 0 0 1176
"408062" 409 125 0 0 1176
"409062" 410 125 0 0 1176
"410062" 411 125 0 0 1176
"411062" 412 125 0 0 1176
"412062" 413 125 0 0 1176
"413062" 414 125 0 0 1176
"414062" 415 125 0 0 1176
"415062" 416 125 0 0 1176
"416062" 417 125 0 0 1176
"417062" 418 125 0 0 1176
"418062" 419 125 0 0 1176
"419062" 420 125 0 0 1176
"420062" 421 125 0 0 1176
"421062" 422 125 0 0 1176
"422062" 423 125 0 0 1176
"423062" 424 125 0 0 1176
"424062" 425 125 0 0 1176
"425062" 426 125 0 0 1176
"426062" 427 125 0 0 1176
"427062" 428 125 0 0 1176
"428062" 429 125 0 0 1176
"429062" 430 125 0 0 1176
"430062" 431 125 0 0 1176
"431062" 432 125 0 0 1176
"432062" 433 125 0 0 1176
"433062" 434 125 0 0 1176
"434062" 435 125 0 0 1176
"435062" 436 125 0 0 1176
"436062" 437 125 0 0 1176
"437062" 438 125 0 0 1176
"438062" 439 125 0 0 1176
"439062" 440 125 0 0 1176
"440062" 441 125 0 0 1176
"441062" 442 125 0 0 1176
"442062" 443 125 0 0 1176
"443062" 444 125 0 0 1176
"444062" 445 125 0 0 1176
"445062" 446 125 0 0 1176
"446062" 447 125 0 0 1176
"447062" 448 125 0 0 1176
"448062" 449 125 0 0 1176
"449062" 450 125 0 0 1176
"450062" 451 125 0 0 1176
"451062" 452 125 0 0 1176
"452062" 453 125 0 0 1176
"453062" 454 125 0 0 1176
"454062" 455 125 0 0 1176
"455062" 456 125 0 0 1176
"456062" 457 125 0 0 1176
"457062" 458 125 0 0 1176
"458062" 459 125 0 0 1176
"459062" 460 125 0 0 1176
"460062" 461 125 0 0 1176
"461062" 462 125 0 0 1176
