"time" "S" "I" "R"
"988" 1 1299 1 0
"1988" 2 1299 1 0
"2988" 3 1299 1 0
"3988" 4 1299 1 0
"4988" 5 1298 2 0
"5988" 6 1298 2 0
"6988" 7 1298 2 0
"7988" 8 1297 3 0
"8988" 9 1297 1 2
"9988" 10 1297 1 2
"10988" 11 1296 2 2
"11988" 12 1296 2 2
"12988" 13 1294 3 3
"13988" 14 1292 3 5
"14988" 15 1291 3 6
"15988" 16 1290 4 6
"16988" 17 1286 7 7
"17988" 18 1285 7 8
"18988" 19 1282 9 9
"19988" 20 1279 7 14
"20988" 21 1271 15 14
"21988" 22 1266 19 15
"22988" 23 1257 21 22
"23988" 24 1250 26 24
"24988" 25 1230 39 31
"25988" 26 1212 44 44
"26988" 27 1184 66 50
"27988" 28 1146 91 63
"28988" 29 1111 109 80
"29988" 30 1063 131 106
"30988" 31 1008 158 134
"31988" 32 931 201 168
"32988" 33 870 211 219
"33988" 34 807 224 269
"34988" 35 728 248 324
"35988" 36 656 258 386
"36988" 37 592 274 434
"37988" 38 518 297 485
"38988" 39 451 294 555
"39988" 40 406 282 612
"40988" 41 374 260 666
"41988" 42 349 230 721
"42988" 43 328 199 773
"43988" 44 306 181 813
"44988" 45 289 162 849
"45988" 46 272 147 881
"46988" 47 255 141 904
"47988" 48 244 134 922
"48988" 49 231 123 946
"49988" 50 220 112 968
"50988" 51 208 105 987
"51988" 52 204 96 1000
"52988" 53 198 88 1014
"53988" 54 187 78 1035
"54988" 55 180 70 1050
"55988" 56 178 60 1062
"56988" 57 175 47 1078
"57988" 58 171 41 1088
"58988" 59 170 35 1095
"59988" 60 169 29 1102
"60988" 61 168 23 1109
"61988" 62 166 20 1114
"62988" 63 166 15 1119
"63988" 64 166 12 1122
"64988" 65 165 12 1123
"65988" 66 164 13 1123
"66988" 67 164 12 1124
"67988" 68 164 10 1126
"68988" 69 164 7 1129
"69988" 70 164 6 1130
"70988" 71 164 5 1131
"71988" 72 162 5 1133
"72988" 73 162 4 1134
"73988" 74 162 3 1135
"74988" 75 162 3 1135
"75988" 76 162 2 1136
"76988" 77 162 2 1136
"77988" 78 162 2 1136
"78988" 79 162 1 1137
"79988" 80 162 0 1138
"80988" 81 162 0 1138
"81988" 82 162 0 1138
"82988" 83 162 0 1138
"83988" 84 162 0 1138
"84988" 85 162 0 1138
"85988" 86 162 0 1138
"86988" 87 162 0 1138
"87988" 88 162 0 1138
"88988" 89 162 0 1138
"89988" 90 162 0 1138
"90988" 91 162 0 1138
"91988" 92 162 0 1138
"92988" 93 162 0 1138
"93988" 94 162 0 1138
"94988" 95 162 0 1138
"95988" 96 162 0 1138
"96988" 97 162 0 1138
"97988" 98 162 0 1138
"98988" 99 162 0 1138
"99988" 100 162 0 1138
