interval,A,B
0,5,0
1,13,0
2,5,0
3,4,0
4,2,1
5,0,2
6,0,4
7,0,11
8,0,5
9,0,25
10,0,37
11,0,38
12,0,26
13,0,12
14,0,15
15,0,6
16,0,3
17,0,1
18,0,3
19,0,0
20,0,0
21,0,1
