Age,Pos,Neg
1,31,175
2,30,116
3,34,134
4,57,132
5,95,124
6,104,91
7,90,74
8,96,49
9,134,46
10,110,50
11,111,37
12,147,31
13,138,39
14,141,24
15,53,14
16,49,9
17,73,8
18,69,10
19,97,14
20,65,11
21,74,8
22,84,17
23,82,6
24,79,6
25,90,4
26,84,7
27,81,8
28,72,4
29,71,8
30,51,5
31,45,7
32,45,3
33,35,2
34,39,2
35,36,4
36,37,1
37,37,2
38,37,4
39,28,2
40,26,1
41,25,0
42,21,1
43,18,1
44,18,0
